,state,synthetic_opioids_rate_pct_change_2014_2015,heroin_rate_pct_change_2014_2015,synthetic_opioids_2014_count,synthetic_opioids_2014_rate,synthetic_opioids_2015_count,synthetic_opioids_2015_rate,heroin_2014_count,heroin_2014_rate,heroin_2015_count,heroin_2015_rate
0,Alaska,,42.4,14,,14,,25,3.3,37,4.7
1,Connecticut,125.9,27.0,94,2.7,211,6.1,299,8.9,390,11.3
2,Iowa,50,23.1,29,1.0,44,1.5,37,1.3,45,1.6
3,Maine,90.4,45.2,62,5.2,116,9.9,38,3.1,52,4.5
4,Maryland,52.6,26.9,230,3.8,357,5.8,313,5.2,405,6.6
5,Massachusetts,108.7,33.3,453,6.9,949,14.4,469,7.2,634,9.6
6,Nevada,10,22.7,32,1.0,32,1.1,64,2.2,82,2.7
7,New Hampshire,94.4,-19.8,151,12.4,285,24.1,98,8.1,78,6.5
8,New Mexico,-36.4,12.5,66,3.3,42,2.1,139,7.2,156,8.1
9,New York,135.7,28.6,294,1.4,668,3.3,825,4.2,1058,5.4
10,North Carolina,40.9,46.4,217,2.2,300,3.1,266,2.8,393,4.1
11,Oklahoma,26.3,42.9,73,1.9,93,2.4,26,0.7,36,1.0
12,Oregon,12.5,-21.9,33,0.8,34,0.9,124,3.2,102,2.5
13,Rhode Island,67.1,-36.8,82,7.9,137,13.2,66,6.8,45,4.3
14,South Carolina,43.5,57.1,110,2.3,161,3.3,64,1.4,100,2.2
15,Utah,-8,13.2,68,2.5,62,2.3,110,3.8,127,4.3
16,Vermont,55.6,0,21,3.6,33,5.6,33,5.8,33,5.8
17,Virginia,57.1,38.7,176,2.1,270,3.3,253,3.1,353,4.3
18,Washington,12.5,2.4,62,0.8,65,0.9,289,4.1,303,4.2
19,West Virginia,76.4,20.4,122,7.2,217,12.7,163,9.8,194,11.8
20,Wisconsin,31.3,8.2,90,1.6,112,2.1,270,4.9,287,5.3
21,Colorado,-20,-3.4,80,1.5,64,1.2,156,2.9,159,2.8
22,Georgia,64.7,37.5,174,1.7,284,2.8,153,1.6,222,2.2
23,Illinois,120.0,19.6,127,1.0,278,2.2,711,5.6,844,6.7
24,Minnesota,25,15.8,44,0.8,55,1.0,100,1.9,115,2.2
25,Missouri,63.2,-8.6,109,1.9,183,3.1,334,5.8,303,5.3
26,Ohio,107.3,19.8,590,5.5,1234,11.4,1208,11.1,1444,13.3
27,Tennessee,90.5,43.5,132,2.1,251,4.0,148,2.3,205,3.3
